affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,marina,hoshino,tshiroko,reisa,sayane,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,marina,hoshino,haruka,saki,sshiroko,1,
indoor,atk,reisa,tshiroko,marina,hoshino,nagisa,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,1,74.0
indoor,atk,marina,tshiroko,hoshino,nymutsuki,sayane,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,0,74.0
indoor,atk,tshiroko,iori,shun,hoshino,nagisa,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,0,74.0
indoor,atk,marina,tshiroko,hoshino,nymutsuki,sayane,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,0,74.0
indoor,atk,reisa,shun,tshiroko,hoshino,nagisa,sshiroko,iori,marina,tshiroko,hoshino,sayane,sshiroko,1,55.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,nyharuna,shun,hoshino,hibiki,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,nyharuna,shun,hoshino,tshiroko,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,hoshino,tshiroko,shun,hibiki,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,nyharuna,shun,hoshino,sayane,sshiroko,0,
indoor,atk,tshiroko,shun,reisa,iori,hibiki,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,1,78.0
indoor,atk,hoshino,haruka,tshiroko,marina,nagisa,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,1,55.0
indoor,atk,tshiroko,shun,iori,hoshino,sayane,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,1,40.0
indoor,atk,hoshino,tshiroko,haruka,nymutsuki,sayane,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,0,40.0
indoor,atk,hoshino,tshiroko,haruka,nymutsuki,sayane,sshiroko,iori,hoshino,tshiroko,marina,sayane,sshiroko,1,29.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,azusa,haruka,nagisa,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,marina,shun,hibiki,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,hoshino,tshiroko,shun,sayane,sshiroko,0,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,shun,hoshino,tshiroko,iori,utaha,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,iori,hoshino,shanako,tshiroko,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,tshiroko,shun,marina,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,tshiroko,iori,hoshino,shun,nagisa,sshiroko,1,
indoor,atk,iori,marina,tshiroko,hoshino,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,82.0
indoor,atk,tshiroko,iori,hoshino,shun,hibiki,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,58.0
indoor,atk,marina,shun,tshiroko,hoshino,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,58.0
indoor,atk,marina,shun,tshiroko,hoshino,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,40.0
indoor,atk,marina,tshiroko,shun,hoshino,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,28.0
indoor,atk,reisa,tshiroko,shun,marina,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,28.0
indoor,atk,reisa,tshiroko,shun,marina,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,19.0
indoor,atk,hoshino,tshiroko,haruka,nymutsuki,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,13.0
indoor,atk,reisa,marina,hoshino,tshiroko,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,9.0
indoor,atk,reisa,hoshino,marina,tshiroko,saki,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,9.0
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,shun,iori,tshiroko,nagisa,sshiroko,1,
indoor,def,tshiroko,marina,shun,hoshino,sayane,sshiroko,hoshino,reisa,tshiroko,marina,saki,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,iori,hoshino,tshiroko,haruka,saki,sshiroko,1,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,tshiroko,haruka,iori,marina,sayane,sshiroko,1,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,tshiroko,hoshino,shun,marina,sayane,sshiroko,0,
indoor,atk,marina,iori,tshiroko,hoshino,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,12.0
indoor,atk,marina,tshiroko,hoshino,iori,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,8.0
indoor,atk,hoshino,tshiroko,shun,marina,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,2.0
